,Kinase,Control_Mean,Relative_Kinase_Activity,Relative_Inhibited_Kinase_Activity,Inhibitor_Mean
80,KHS1,592711346.7,1.7967197166182546e-05,1.7011047456160926e-05,567258848.4
156,SGK3,592711346.7,1.7967197166182546e-05,1.7011047456160926e-05,567258848.4
44,CK2A2,527477098.4,1.5989714184425065e-05,1.3939893783901375e-05,464846630.7
73,IKKE,526714931.5053,1.5966610184566017e-05,6.609595454291692e-06,220406857.1
123,PIKFYVE,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
103,Mer,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
74,ILK,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
6,AXL,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
150,RIPK2,502456576.5,1.5231252831051267e-05,2.9136320141477466e-05,971594221.5
152,ROCK2,489671429.0,1.48436893615645e-05,5.1520717919347514e-05,1718035482.0
166,Tyk2,322705177.2,9.782346124436487e-06,1.4524038385756352e-05,484325807.1
101,MST2,305073502.03,9.247867096975218e-06,5.628973781597863e-06,187706559.12
109,NEK9,271881815.1,8.241708556785567e-06,9.931750877043554e-07,33118910.4
15,BRSK2,219270512.4,6.6468721257916745e-06,6.030623515650695e-06,201100170.9
111,NME1,196602740.6,5.959731028331337e-06,9.38261670188532e-06,312877402.7
33,CDK20,118917113.7,3.604802304152089e-06,3.037150994582983e-06,101278347.5
143,PRKD2,99838890.28,3.026473234401514e-06,1.5750565945998582e-06,52522620.51
112,NuaK1,79798280.4444,2.4189707962391263e-06,1.473810845529286e-06,49146429.41
161,TAF1,76997307.07,2.3340632925186942e-06,5.493457820905117e-06,183187576.5
138,PKM,64575773.8,1.9575222686105615e-06,1.32486154052733e-06,44179491.81
68,HIPK1,58235940.83,1.7653392952174276e-06,3.964368451447681e-06,132197801.94
144,PRKD3,50387193.8,1.5274157491597263e-06,1.7144712349276515e-06,57171610.44
24,CAMK2G,50112936.8,1.5191020402681367e-06,1.9212271761566924e-06,64066196.88
31,CDK19,37769454.44,1.1449270181191703e-06,2.8908348878794413e-07,9639921.784
169,WNK1,31859689.58,9.65780944677892e-07,2.6500550268627584e-07,8837005.285
170,WNK2,31859689.58,9.65780944677892e-07,2.6500550268627584e-07,8837005.285
87,LYN,24488117.29,7.423222687193307e-07,1.8102461608334498e-07,6036536.875
61,GRK6,20002227.86,6.063389434409314e-07,3.121980899591915e-05,1041071277.0
95,MEKK3,16464064.434,4.990845771544458e-07,0.0,0.0
57,ERK5,13665602.88,4.142532156786734e-07,1.1305546960061565e-06,37700039.14
94,MEKK2,5444354.67,1.6503782885740511e-07,9.414072179501086e-08,3139263.327
146,Pim3,5394590.955,1.6352931297677484e-07,0.0,0.0
145,Pim1,5394590.955,1.6352931297677484e-07,0.0,0.0
70,IGF1R,5252806.508,1.5923132015357255e-07,0.0,0.0
148,QIK,3575548.26,1.083876340857993e-07,8.849359498599909e-07,29509514.28
50,DAPK3,3027317.713,9.176880877510595e-08,1.4258887437059555e-07,4754839.517
104,Mnk1,117591.1133,3.564606497606655e-09,0.0,0.0
105,Mnk2,117591.1133,3.564606497606655e-09,0.0,0.0
84,LKB1,111549.5244,3.381464366841504e-09,0.0,0.0
139,PKR,111549.5244,3.381464366841504e-09,0.0,0.0
